STATE,TOTAL ADULT POPULATION,LGBT ADULT POPULATION,LGBT POPULATION DENSITY,% OF LGBTQ INDIVIDUALS RAISING CHILDREN,% OF SAME-SEX COUPLES RAISING CHILDREN
ALABAMA,"4,887,871","147,000",3.100%,24.00%,20.400%
ALASKA,"737,438","25,000",3.700%,34.00%,23.100%
AMERICAN SAMOA,"55,519",N/A,N/A,N/A,N/A
ARIZONA,"7,171,646","286,000",4.500%,25.00%,16.500%
ARKANSAS,"3,013,825","95,000",3.300%,36.00%,21.200%
CALIFORNIA,"39,557,045","1,859,000",5.300%,24.00%,16.00%
COLORADO,"5,695,564","234,000",4.600%,25.00%,15.900%
CONNECTICUT,"3,572,665","133,000",3.900%,20.0%,17.00%
DELAWARE,"967,171","40,000",4.500%,35.00%,15.600%
DISTRICT OF COLUMBIA,"702,455","58,000",9.800%,9.00%,8.700%
FLORIDA,"21,299,325","886,000",4.600%,24.00%,13.300%
GEORGIA,"10,519,475","425,000",4.500%,27.00%,19.600%
GUAM,"159,358",N/A,N/A,N/A,N/A
HAWAII,"1,420,491","59,000",4.600%,30.0%,15.800%
IDAHO,"1,754,208","48,000",2.800%,44.00%,22.300%
ILLINOIS,"12,741,080","506,000",4.300%,28.00%,16.600%
INDIANA,"6,691,878","272,000",4.500%,34.00%,18.900%
IOWA,"3,156,145","106,000",3.600%,27.00%,18.600%
KANSAS,"2,911,505","92,000",3.300%,33.00%,21.800%
KENTUCKY,"4,468,402","144,000",3.400%,26.00%,18.500%
LOUISIANA,"4,659,978","169,000",3.900%,28.00%,19.900%
MAINE,"1,338,404","60,000",4.900%,21.00%,13.800%
MARYLAND,"6,042,718","234,000",4.200%,20.0%,20.300%
MASSACHUSETTS,"6,902,149","335,000",5.400%,21.00%,17.100%
MICHIGAN,"9,995,915","373,000",4.00%,27.00%,18.200%
MINNESOTA,"5,611,179","210,000",4.100%,28.00%,16.500%
MISSISSIPPI,"2,986,530","99,000",3.500%,34.00%,25.700%
MISSOURI,"6,126,452","217,000",3.800%,26.00%,17.300%
MONTANA,"1,062,305","30,000",2.900%,19.00%,22.00%
NEBRASKA,"1,929,268","67,000",3.800%,32.00%,19.600%
NEVADA,"3,034,392","145,000",5.500%,22.00%,17.00%
NEW HAMPSHIRE,"1,356,458","59,000",4.700%,31.00%,16.500%
NEW JERSEY,"8,908,520","343,000",4.100%,25.00%,19.700%
NEW MEXICO,"2,095,428","85,000",4.500%,29.00%,17.800%
NEW YORK,"19,542,209","913,000",5.100%,22.00%,16.400%
NORTH CAROLINA,"10,383,620","382,000",4.00%,26.00%,18.500%
NORTH DAKOTA,"760,077","20,000",2.700%,10.0%,21.600%
NORTHERN MARIANA ISLANDS,"53,833",N/A,N/A,N/A,N/A
OHIO,"11,689,442","462,000",4.300%,30.0%,17.700%
OKLAHOMA,"3,943,079","138,000",3.800%,38.00%,20.900%
OREGON,"4,190,713","207,000",5.600%,23.00%,16.300%
PENNSYLVANIA,"12,807,060","490,000",4.100%,27.00%,15.900%
PUERTO RICO,"3,195,153",N/A,N/A,N/A,N/A
RHODE ISLAND,"1,057,315","44,000",4.500%,19.00%,15.500%
SOUTH CAROLINA,"5,084,127","167,000",3.500%,30.0%,18.900%
SOUTH DAKOTA,"882,235","25,000",3.00%,29.00%,21.100%
TENNESSEE,"6,770,010","223,000",3.500%,29.00%,18.100%
TEXAS,"28,701,845","1,053,000",4.100%,29.00%,19.800%
U.S. VIRGIN ISLANDS,"106,405",N/A,N/A,N/A,N/A
UTAH,"3,161,108","104,000",3.700%,40.0%,20.100%
VERMONT,"626,299","30,000",5.200%,23.00%,18.600%
VIRGINIA,"8,517,685","308,000",3.900%,26.00%,16.00%
WASHINGTON,"7,535,591","342,000",5.200%,28.00%,15.800%
WEST VIRGINIA,"1,805,832","68,000",4.00%,31.00%,17.800%
WISCONSIN,"5,813,568","207,000",3.800%,29.00%,16.400%
WYOMING,"577,737","18,000",3.300%,28.00%,24.700%