state,speaker
Alabama,Richard Shelby
Alabama,Tommy Tuberville
Alaska,Lisa Murkowski
Alaska,Dan Sullivan
Arizona,Kyrsten Sinema
Arizona,Mark Kelly
Arkansas,John Boozman
Arkansas,Tom Cotton
California,Dianne Feinstein
California,Alex Padilla
Colorado,Michael Bennet
Colorado,John Hickenlooper
Connecticut,Richard Blumenthal
Connecticut,Chris Murphy
Delaware,Tom Carper
Delaware,Chris Coons
Florida,Marco Rubio
Florida,Rick Scott
Georgia,Jon Ossoff
Georgia,Raphael Warnock
Hawaii,Brian Schatz
Hawaii,Mazie Hirono
Idaho,Mike Crapo
Idaho,Jim Risch
Illinois,Dick Durbin
Illinois,Tammy Duckworth
Indiana,Todd Young
Indiana,Mike Braun
Iowa,Chuck Grassley
Iowa,Joni Ernst
Kansas,Jerry Moran
Kansas,Roger Marshall
Kentucky,Mitch McConnell
Kentucky,Rand Paul
Louisiana,Bill Cassidy
Louisiana,John Kennedy
Maine,Susan Collins
Maine,Angus King
Maryland,Ben Cardin
Maryland,Chris Van Hollen
Massachusetts,Elizabeth Warren
Massachusetts,Ed Markey
Michigan,Debbie Stabenow
Michigan,Gary Peters
Minnesota,Amy Klobuchar
Minnesota,Tina Smith
Mississippi,Roger Wicker
Mississippi,Cindy Hyde-Smith
Missouri,Roy Blunt
Missouri,Josh Hawley
Montana,Jon Tester
Montana,Steve Daines
Nebraska,Deb Fischer
Nebraska,Ben Sasse
Nevada,Catherine Cortez Masto
Nevada,Jacky Rosen
New Hampshire,Jeanne Shaheen
New Hampshire,Maggie Hassan
New Jersey,Bob Menendez
New Jersey,Cory Booker
New Mexico,Martin Heinrich
New Mexico,Ben Ray Luján
New York,Chuck Schumer
New York,Kirsten Gillibrand
North Carolina,Richard Burr
North Carolina,Thom Tillis
North Dakota,John Hoeven
North Dakota,Kevin Cramer
Ohio,Sherrod Brown
Ohio,Rob Portman
Oklahoma,Jim Inhofe
Oklahoma,James Lankford
Oregon,Ron Wyden
Oregon,Jeff Merkley
Pennsylvania,Bob Casey Jr.
Pennsylvania,Pat Toomey
Rhode Island,Jack Reed
Rhode Island,Sheldon Whitehouse
South Carolina,Lindsey Graham
South Carolina,Tim Scott
South Dakota,John Thune
South Dakota,Mike Rounds
Tennessee,Marsha Blackburn
Tennessee,Bill Hagerty
Texas,John Cornyn
Texas,Ted Cruz
Utah,Mike Lee
Utah,Mitt Romney
Vermont,Patrick Leahy
Vermont,Bernie Sanders
Virginia,Mark Warner
Virginia,Tim Kaine
Washington,Patty Murray
Washington,Maria Cantwell
West Virginia,Joe Manchin
West Virginia,Shelley Moore Capito
Wisconsin,Ron Johnson
Wisconsin,Tammy Baldwin
Wyoming,John Barrasso
Wyoming,Cynthia Lummis
Illinois,Aaron Schock
California,Adam B. Schiff
Illinois,Adam Kinzinger
Washington,Adam Smith
Nebraska,Adrian Smith
Texas,Al Green
Florida,Alan Grayson
Mississippi,Alan Nunnelee
California,Alan S. Lowenthal
New Jersey,Albio Sires
Florida,Alcee L. Hastings
West Virginia,Alexander X. Mooney
North Carolina,Alma S. Adams
California,Ami Bera
Florida,Ander Crenshaw
Indiana,André Carson
Kentucky,Andy Barr
Maryland,Andy Harris
Arizona,Ann Kirkpatrick
New Hampshire,Ann M. Kuster
Missouri,Ann Wagner
California,Anna G. Eshoo
American Samoa,Aumua Amata Coleman Radewagen
Georgia,Austin Scott
Virginia,Barbara Comstock
California,Barbara Lee
Georgia,Barry Loudermilk
Mississippi,Bennie G. Thompson
Texas,Beto O’Rourke
Minnesota,Betty McCollum
Texas,Bill Flores
Illinois,Bill Foster
Michigan,Bill Huizenga
Ohio,Bill Johnson
New Jersey,"Bill Pascrell, Jr."
Florida,Bill Posey
Pennsylvania,Bill Shuster
Missouri,Billy Long
Missouri,Blaine Luetkemeyer
Texas,Blake Farenthold
Ohio,Bob Gibbs
Virginia,Bob Goodlatte
Illinois,Bobby L. Rush
New Jersey,Bonnie Watson Coleman
Nebraska,Brad Ashford
Ohio,Brad R. Wenstrup
California,Brad Sherman
Alabama,Bradley Byrne
Michigan,Brenda L. Lawrence
Pennsylvania,Brendan F. Boyle
Kentucky,Brett Guthrie
Texas,Brian Babin
New York,Brian Higgins
Maine,Bruce Poliquin
Arkansas,Bruce Westerman
Maryland,C. A. Dutch Ruppersberger
Michigan,Candice S. Miller
Florida,Carlos Curbelo
New York,Carolyn B. Maloney
Washington,Cathy McMorris Rodgers
Louisiana,Cedric L. Richmond
Pennsylvania,Chaka Fattah
New York,Charles B. Rangel
Tennessee,"Charles J. ""Chuck"" Fleischmann"
Louisiana,Charles W. Boustany Jr.
Pennsylvania,Charles W. Dent
Maine,Chellie Pingree
Illinois,Cheri Bustos
New York,Chris Collins
Utah,Chris Stewart
New Jersey,Christopher H. Smith
New York,Christopher P. Gibson
Hawaii,Colleen Hanabusa
Minnesota,Collin C. Peterson
Florida,Corrine Brown
Nevada,Cresent Hardy
Florida,Curt Clawson
Wyoming,Cynthia M. Lummis
Michigan,Dan Benishek
Washington,Dan Newhouse
California,Dana Rohrabacher
Illinois,Daniel Lipinski
New York,"Daniel M. Donovan, Jr."
Michigan,Daniel T. Kildee
Florida,Daniel Webster
Illinois,Danny K. Davis
Illinois,Darin LaHood
California,Darrell E. Issa
Virginia,Dave Brat
Michigan,David A. Trott
West Virginia,David B. McKinley
North Carolina,David E. Price
Washington,David G. Reichert
California,David G. Valadao
Iowa,David Loebsack
Rhode Island,David N. Cicilline
Ohio,David P. Joyce
Tennessee,David P. Roe
North Carolina,David Rouzer
Arizona,David Schweikert
Georgia,David Scott
Florida,David W. Jolly
Iowa,David Young
Michigan,Debbie Dingell
Florida,Debbie Wasserman Schultz
Florida,Dennis A. Ross
Washington,Denny Heck
Washington,Derek Kilmer
California,Devin Nunes
Colorado,Diana DeGette
Tennessee,Diane Black
Nevada,Dina Titus
Alaska,Don Young
New Jersey,"Donald M. Payne, Jr."
New Jersey,Donald Norcross
Virginia,"Donald S. Beyer, Jr."
Maryland,Donna F. Edwards
California,Doris O. Matsui
Georgia,Doug Collins
California,Doug LaMalfa
Colorado,Doug Lamborn
California,Duncan Hunter
Pennsylvania,Dwight Evans
Virginia,E. Scott Rigell
Oregon,Earl Blumenauer
Georgia,"Earl L. ""Buddy"" Carter"
Colorado,Ed Perlmutter
Kentucky,Ed Whitfield
Texas,Eddie Bernice Johnson
California,Edward R. Royce
District of Columbia,Eleanor Holmes Norton
Maryland,Elijah E. Cummings
New York,Eliot L. Engel
New York,Elise M. Stefanik
Connecticut,Elizabeth H. Esty
Missouri,Emanuel Cleaver
Arkansas,"Eric A. ""Rick"" Crawford"
California,Eric Swalwell
Minnesota,Erik Paulsen
West Virginia,Evan H. Jenkins
Wisconsin,"F. James Sensenbrenner, Jr."
Texas,Filemon Vela
New Jersey,Frank A. LoBiondo
New Hampshire,Frank C. Guinta
Oklahoma,Frank D. Lucas
New Jersey,"Frank Pallone, Jr."
Michigan,Fred Upton
Florida,Frederica S. Wilson
North Carolina,G. K. Butterfield
Louisiana,Garret Graves
Alabama,Gary J. Palmer
Texas,Gene Green
North Carolina,George Holding
Virginia,Gerald E. Connolly
Wisconsin,Glenn Grothman
Pennsylvania,Glenn Thompson
California,Grace F. Napolitano
New York,Grace Meng
Oregon,Greg Walden
Mississippi,Gregg Harper
Northern Mariana Islands,Gregorio Kilili Camacho Sablan
New York,Gregory W. Meeks
Florida,Gus M. Bilirakis
Florida,Gwen Graham
Wisconsin,Gwen Moore
Virginia,H. Morgan Griffith
New York,Hakeem S. Jeffries
Kentucky,Harold Rogers
Georgia,"Henry C. ""Hank"" Johnson, Jr."
Texas,Henry Cuellar
Florida,Ileana Ros-Lehtinen
Arkansas,J. French Hill
Virginia,J. Randy Forbes
California,Jackie Speier
Indiana,Jackie Walorski
Washington,Jaime Herrera Beutler
Connecticut,James A. Himes
Ohio,James B. Renacci
Kentucky,James Comer
South Carolina,James E. Clyburn
Massachusetts,James P. McGovern
Rhode Island,James R. Langevin
Illinois,Janice D. Schakowsky
California,Janice Hahn
California,Jared Huffman
Colorado,Jared Polis
Utah,Jason Chaffetz
Missouri,Jason Smith
Texas,Jeb Hensarling
California,Jeff Denham
South Carolina,Jeff Duncan
Nebraska,Jeff Fortenberry
Florida,Jeff Miller
New York,Jerrold Nadler
California,Jerry McNerney
Oklahoma,Jim Bridenstine
Tennessee,Jim Cooper
California,Jim Costa
Ohio,Jim Jordan
Washington,Jim McDermott
Texas,Joaquin Castro
Georgia,Jody B. Hice
Texas,Joe Barton
Connecticut,Joe Courtney
South Carolina,Joe Wilson
Ohio,John A. Boehner
Kentucky,John A. Yarmuth
Texas,John Abney Culberson
Connecticut,John B. Larson
Delaware,John C. Carney Jr.
Michigan,"John Conyers, Jr."
Louisiana,John Fleming
California,John Garamendi
Tennessee,"John J. Duncan, Jr."
Maryland,John K. Delaney
New York,John Katko
Minnesota,John Kline
Florida,John L. Mica
Georgia,John Lewis
Maryland,John P. Sarbanes
Texas,John R. Carter
Michigan,John R. Moolenaar
Texas,John Ratcliffe
Illinois,John Shimkus
New York,Joseph Crowley
Nevada,Joseph J. Heck
Massachusetts,Joseph P. Kennedy III
Pennsylvania,Joseph R. Pitts
New York,José E. Serrano
Ohio,Joyce Beatty
California,Juan Vargas
California,Judy Chu
California,Julia Brownley
Michigan,Justin Amash
Texas,K. Michael Conaway
California,Karen Bass
Massachusetts,Katherine M. Clark
New York,Kathleen M. Rice
Florida,Kathy Castor
Texas,Kay Granger
Minnesota,Keith Ellison
Pennsylvania,Keith J. Rothfus
Colorado,Ken Buck
California,Ken Calvert
Texas,Kenny Marchant
Texas,Kevin Brady
California,Kevin McCarthy
Kansas,Kevin Yoder
South Dakota,Kristi L. Noem
Oregon,Kurt Schrader
Texas,Lamar Smith
Indiana,Larry Bucshon
New York,Lee M. Zeldin
New Jersey,Leonard Lance
California,Linda T. Sánchez
Texas,Lloyd Doggett
California,Lois Capps
Florida,Lois Frankel
California,Loretta Sanchez
Pennsylvania,Lou Barletta
Texas,Louie Gohmert
New York,Louise McIntosh Slaughter
California,Lucille Roybal-Allard
Illinois,Luis V. Gutiérrez
Indiana,Luke Messer
Georgia,Lynn A. Westmoreland
Kansas,Lynn Jenkins
Texas,Mac Thornberry
Guam,Madeleine Z. Bordallo
Texas,Marc A. Veasey
Ohio,Marcia L. Fudge
Ohio,Marcy Kaptur
Florida,Mario Diaz-Balart
California,Mark DeSaulnier
Nevada,Mark E. Amodei
North Carolina,Mark Meadows
Wisconsin,Mark Pocan
South Carolina,Mark Sanford
Hawaii,Mark Takai
California,Mark Takano
North Carolina,Mark Walker
Oklahoma,Markwayne Mullin
Indiana,Marlin A. Stutzman
Arizona,Martha McSally
Alabama,Martha Roby
Pennsylvania,Matt Cartwright
Arizona,Matt Salmon
California,Maxine Waters
Utah,Mia B. Love
Texas,Michael C. Burgess
Massachusetts,Michael E. Capuano
Pennsylvania,Michael F. Doyle
Pennsylvania,Michael G. Fitzpatrick
Idaho,Michael K. Simpson
California,Michael M. Honda
Ohio,Michael R. Turner
Texas,Michael T. McCaul
New Mexico,Michelle Lujan Grisham
South Carolina,Mick Mulvaney
Michigan,Mike Bishop
Illinois,Mike Bost
Colorado,Mike Coffman
Pennsylvania,Mike Kelly
Kansas,Mike Pompeo
Illinois,Mike Quigley
Alabama,Mike Rogers
California,Mike Thompson
California,Mimi Walters
Alabama,Mo Brooks
California,Nancy Pelosi
Massachusetts,Niki Tsongas
New York,Nita M. Lowey
California,Norma J. Torres
New York,Nydia M. Velázquez
Ohio,Patrick J. Tiberi
Pennsylvania,Patrick Meehan
Florida,Patrick Murphy
North Carolina,Patrick T. McHenry
Arizona,Paul A. Gosar
California,Paul Cook
Wisconsin,Paul D. Ryan
New York,Paul Tonko
Puerto Rico,Pedro R. Pierluisi
California,Pete Aguilar
Texas,Pete Olson
Texas,Pete Sessions
Oregon,Peter A. DeFazio
Illinois,Peter J. Roskam
Indiana,Peter J. Visclosky
New York,Peter T. King
Vermont,Peter Welch
Louisiana,Ralph Lee Abraham
Illinois,Randy Hultgren
Texas,"Randy K. Weber, Sr."
Texas,Randy Neugebauer
California,Raul Ruiz
Arizona,Raúl M. Grijalva
Idaho,Raúl R. Labrador
Wisconsin,Reid J. Ribble
North Carolina,Renee L. Ellmers
Florida,Richard B. Nugent
Massachusetts,Richard E. Neal
North Carolina,Richard Hudson
New York,Richard L. Hanna
Minnesota,Richard M. Nolan
Washington,Rick Larsen
Georgia,Rick W. Allen
Utah,Rob Bishop
Georgia,Rob Woodall
Pennsylvania,Robert A. Brady
Alabama,Robert B. Aderholt
Virginia,"Robert C. ""Bobby"" Scott"
Ohio,Robert E. Latta
Virginia,Robert Hurt
Illinois,Robert J. Dold
Virginia,Robert J. Wittman
North Carolina,Robert Pittenger
Illinois,Robin L. Kelly
Iowa,Rod Blum
Illinois,Rodney Davis
New Jersey,Rodney P. Frelinghuysen
Texas,Roger Williams
Florida,Ron DeSantis
Wisconsin,Ron Kind
Connecticut,Rosa L. DeLauro
Arizona,Ruben Gallego
Texas,Rubén Hinojosa
Pennsylvania,Ryan A. Costello
Montana,Ryan K. Zinke
California,Sam Farr
Missouri,Sam Graves
Texas,Sam Johnson
Michigan,Sander M. Levin
Georgia,"Sanford D. Bishop, Jr."
Tennessee,Scott DesJarlais
New Jersey,Scott Garrett
California,Scott H. Peters
Pennsylvania,Scott Perry
Colorado,Scott R. Tipton
Wisconsin,Sean P. Duffy
New York,Sean Patrick Maloney
Massachusetts,Seth Moulton
Texas,Sheila Jackson Lee
United States Virgin Islands,Stacey E. Plaskett
Maryland,Steny H. Hoyer
Massachusetts,Stephen F. Lynch
California,Stephen Knight
Tennessee,Stephen Lee Fincher
New Mexico,Stevan Pearce
Ohio,Steve Chabot
Tennessee,Steve Cohen
New York,Steve Israel
Iowa,Steve King
Oklahoma,Steve Russell
Louisiana,Steve Scalise
Ohio,Steve Stivers
Arkansas,Steve Womack
Mississippi,Steven M. Palazzo
California,Susan A. Davis
Indiana,Susan W. Brooks
Washington,Suzan K. DelBene
Oregon,Suzanne Bonamici
California,Ted Lieu
Texas,Ted Poe
Florida,Ted S. Yoho
Alabama,Terri A. Sewell
Florida,Theodore E. Deutch
Florida,Thomas J. Rooney
New Jersey,Thomas MacArthur
Kentucky,Thomas Massie
Kansas,Tim Huelskamp
Pennsylvania,Tim Murphy
Ohio,Tim Ryan
Michigan,Tim Walberg
Minnesota,Timothy J. Walz
Indiana,Todd Rokita
Oklahoma,Tom Cole
Minnesota,Tom Emmer
Georgia,Tom Graves
Pennsylvania,Tom Marino
California,Tom McClintock
Georgia,Tom Price
New York,Tom Reed
South Carolina,Tom Rice
California,Tony Cárdenas
Arizona,Trent Franks
Mississippi,Trent Kelly
South Carolina,Trey Gowdy
Hawaii,Tulsi Gabbard
Florida,Vern Buchanan
Missouri,Vicky Hartzler
North Carolina,Virginia Foxx
North Carolina,Walter B. Jones
Ohio,Warren Davidson
Texas,Will Hurd
Massachusetts,William R. Keating
Missouri,Wm. Lacy Clay
California,Xavier Becerra
New York,Yvette D. Clarke
California,Zoe Lofgren
Virginia,A. Donald McEachin
Georgia,A. Drew Ferguson IV
New York,Adriano Espaillat
Florida,"Al Lawson, Jr."
Arizona,Andy Biggs
Maryland,Anthony G. Brown
Illinois,Bradley Scott Schneider
Michigan,Brenda Jones
Florida,Brian J. Mast
Pennsylvania,Brian K. Fitzpatrick
New Hampshire,Carol Shea-Porter
Florida,Charlie Crist
New York,Claudia Tenney
Louisiana,Clay Higgins
Pennsylvania,Conor Lamb
Florida,Darren Soto
Tennessee,David Kustoff
Arizona,Debbie Lesko
Nebraska,Don Bacon
Florida,Francis Rooney
Montana,Greg Gianforte
California,J. Luis Correa
Michigan,Jack Bergman
Maryland,Jamie Raskin
Minnesota,Jason Lewis
Puerto Rico,Jenniffer González-Colón
Indiana,Jim Banks
California,Jimmy Gomez
California,Jimmy Panetta
Texas,Jodey C. Arrington
Florida,John H. Rutherford
New York,John J. Faso
Utah,John R. Curtis
New York,Joseph D. Morelle
New Jersey,Josh Gottheimer
Georgia,Karen C. Handel
Oklahoma,Kevin Hern
Delaware,Lisa Blunt Rochester
Wyoming,Liz Cheney
Pennsylvania,Lloyd Smucker
Pennsylvania,Mary Gay Scanlon
Florida,Matt Gaetz
Texas,Michael Cloud
Wisconsin,Mike Gallagher
Louisiana,Mike Johnson
California,Nanette Diaz Barragán
Florida,Neal P. Dunn
Michigan,Paul Mitchell
Washington,Pramila Jayapal
Illinois,Raja Krishnamoorthi
South Carolina,Ralph Norman
California,Ro Khanna
Kansas,Roger W. Marshall
Kansas,Ron Estes
Nevada,Ruben J. Kihuen
California,Salud O. Carbajal
Virginia,Scott Taylor
Florida,Stephanie N. Murphy
Pennsylvania,Susan Wild
North Carolina,Ted Budd
Virginia,"Thomas A. Garrett, Jr."
New York,Thomas R. Suozzi
Arizona,Tom O’Halleran
Indiana,Trey Hollingsworth
Ohio,Troy Balderson
Florida,Val Butler Demings
Texas,Vicente Gonzalez
Iowa,Abby Finkenauer
Virginia,Abigail Davis Spanberger
New York,Alexandria Ocasio-Cortez
New Jersey,Andy Kim
Michigan,Andy Levin
Minnesota,Angie Craig
New York,Anthony Brindisi
Ohio,Anthony Gonzalez
New York,Antonio Delgado
Massachusetts,Ayanna Pressley
Virginia,Ben Cline
Utah,Ben McAdams
Wisconsin,Bryan Steil
West Virginia,Carol D. Miller
Texas,Chip Roy
New Hampshire,Chris Pappas
Pennsylvania,Chrissy Houlahan
Texas,Colin Z. Allred
Iowa,Cynthia Axne
Texas,Dan Crenshaw
Pennsylvania,Daniel Meuser
Maryland,David J. Trone
Minnesota,Dean Phillips
Florida,Debbie Mucarsel-Powell
New Mexico,Debra A. Haaland
Virginia,Denver Riggleman
Florida,Donna E. Shalala
South Dakota,Dusty Johnson
Hawaii,Ed Case
Virginia,Elaine G. Luria
Michigan,Elissa Slotkin
California,"Gilbert Ray Cisneros, Jr."
Indiana,Greg Pence
Arizona,Greg Stanton
Pennsylvania,Guy Reschenthaler
Michigan,Haley M. Stevens
California,Harley Rouda
Minnesota,Ilhan Omar
Connecticut,Jahana Hayes
Indiana,James R. Baird
Maine,Jared Golden
Colorado,Jason Crow
New Jersey,Jefferson Van Drew
Virginia,Jennifer Wexton
Illinois,Jesús G. García
Minnesota,Jim Hagedorn
South Carolina,Joe Cunningham
Colorado,Joe Neguse
Pennsylvania,John Joyce
Tennessee,John W. Rose
California,Josh Harder
California,Katie Hill
California,Katie Porter
North Dakota,Kelly Armstrong
Oklahoma,Kendra S. Horn
Washington,Kim Schrier
Texas,Lance Gooden
Illinois,Lauren Underwood
Texas,Lizzie Fletcher
Massachusetts,Lori Trahan
Georgia,Lucy McBath
Pennsylvania,Madeleine Dean
Tennessee,Mark E. Green
New York,Max Rose
Guam,Michael F. Q. San Nicolas
Mississippi,Michael Guest
Florida,Michael Waltz
California,Mike Levin
New Jersey,Mikie Sherrill
Minnesota,Pete Stauber
Michigan,Rashida Tlaib
Texas,Ron Wright
Florida,Ross Spano
Idaho,Russ Fulcher
Illinois,Sean Casten
Kansas,Sharice Davids
Kansas,"Steven C. Watkins, Jr."
Nevada,Steven Horsford
Nevada,Susie Lee
Texas,Sylvia R. Garcia
California,TJ Cox
Tennessee,Tim Burchett
New Jersey,Tom Malinowski
Texas,Van Taylor
Texas,Veronica Escobar
Florida,W. Gregory Steube
South Carolina,William R. Timmons IV
New Mexico,Xochitl Torres Small
